Municipality,Year,Concat,Sum_firesize,Count_fires
Municipal District of Bighorn,2018,Municipal District of Bighorn 2018,0,0
Municipal District of Bonnyville,2018,Municipal District of Bonnyville 2018,0,0
Municipal District of Greenview,2018,Municipal District of Greenview 2018,0,0
Municipal District of Lesser Slave River,2018,Municipal District of Lesser Slave River 2018,0,0
Municipal District of Opportunity,2018,Municipal District of Opportunity 2018,0,0
Municipal District of Pincher Creek No. 9,2018,Municipal District of Pincher Creek No. 9 2018,0,0
Municipal District of Ranchland No. 66,2018,Municipal District of Ranchland No. 66 2018,0,0
Municipal District of Smoky River,2018,Municipal District of Smoky River 2018,0,0
Northern Sunrise County,2018,Northern Sunrise County 2018,0,0
Ponoka County,2018,Ponoka County 2018,0,0
Saddle Hills County,2018,Saddle Hills County 2018,0,0
Wood Buffalo,2018,Wood Buffalo 2018,0,0
Woodlands County,2018,Woodlands County 2018,0,0
Yellowhead County,2018,Yellowhead County 2018,0,0
Athabasca County,2019,Athabasca County 2019,0,0
Big Lakes County,2019,Big Lakes County 2019,0,0
Brazeau County,2019,Brazeau County 2019,0,0
Census Division No. 9,2019,Census Division No. 9 2019,0,0
Clear Hills County,2019,Clear Hills County 2019,0,0
Clearwater County,2019,Clearwater County 2019,0,0
County of Grande Prairie,2019,County of Grande Prairie 2019,0,0
County of Northern Lights,2019,County of Northern Lights 2019,0,0
County of Wetaskiwin,2019,County of Wetaskiwin 2019,0,0
Kananaskis Improvement District,2019,Kananaskis Improvement District 2019,0,0
Lac La Biche County,2019,Lac La Biche County 2019,0,0
Mackenzie County,2019,Mackenzie County 2019,0,0
Mountain View County,2019,Mountain View County 2019,0,0
Municipal District of Bighorn,2019,Municipal District of Bighorn 2019,0,0
Municipal District of Bonnyville,2019,Municipal District of Bonnyville 2019,0,0
Municipal District of Greenview,2019,Municipal District of Greenview 2019,0,0
Municipal District of Lesser Slave River,2019,Municipal District of Lesser Slave River 2019,0,0
Municipal District of Opportunity,2019,Municipal District of Opportunity 2019,0,0
Municipal District of Pincher Creek No. 9,2019,Municipal District of Pincher Creek No. 9 2019,0,0
Municipal District of Ranchland No. 66,2019,Municipal District of Ranchland No. 66 2019,0,0
Municipal District of Smoky River,2019,Municipal District of Smoky River 2019,0,0
Northern Sunrise County,2019,Northern Sunrise County 2019,0,0
Ponoka County,2019,Ponoka County 2019,0,0
Saddle Hills County,2019,Saddle Hills County 2019,0,0
Wood Buffalo,2019,Wood Buffalo 2019,0,0
Woodlands County,2019,Woodlands County 2019,0,0
Yellowhead County,2019,Yellowhead County 2019,0,0
Athabasca County,2020,Athabasca County 2020,0,0
Big Lakes County,2020,Big Lakes County 2020,0,0
Brazeau County,2020,Brazeau County 2020,0,0
Census Division No. 9,2020,Census Division No. 9 2020,0,0
Clear Hills County,2020,Clear Hills County 2020,0,0
Clearwater County,2020,Clearwater County 2020,0,0
County of Grande Prairie,2020,County of Grande Prairie 2020,0,0
County of Northern Lights,2020,County of Northern Lights 2020,0,0
County of Wetaskiwin,2020,County of Wetaskiwin 2020,0,0
Kananaskis Improvement District,2020,Kananaskis Improvement District 2020,0,0
Lac La Biche County,2020,Lac La Biche County 2020,0,0
Mackenzie County,2020,Mackenzie County 2020,0,0
Mountain View County,2020,Mountain View County 2020,0,0
Municipal District of Bighorn,2020,Municipal District of Bighorn 2020,0,0
Municipal District of Bonnyville,2020,Municipal District of Bonnyville 2020,0,0
Municipal District of Greenview,2020,Municipal District of Greenview 2020,0,0
Municipal District of Lesser Slave River,2020,Municipal District of Lesser Slave River 2020,0,0
Municipal District of Opportunity,2020,Municipal District of Opportunity 2020,0,0
Municipal District of Pincher Creek No. 9,2020,Municipal District of Pincher Creek No. 9 2020,0,0
Municipal District of Ranchland No. 66,2020,Municipal District of Ranchland No. 66 2020,0,0
Municipal District of Smoky River,2020,Municipal District of Smoky River 2020,0,0
Northern Sunrise County,2020,Northern Sunrise County 2020,0,0
Ponoka County,2020,Ponoka County 2020,0,0
Saddle Hills County,2020,Saddle Hills County 2020,0,0
Wood Buffalo,2020,Wood Buffalo 2020,0,0
Woodlands County,2020,Woodlands County 2020,0,0
Yellowhead County,2020,Yellowhead County 2020,0,0
Athabasca County,2021,Athabasca County 2021,0,0
Big Lakes County,2021,Big Lakes County 2021,0,0
Brazeau County,2021,Brazeau County 2021,0,0
Census Division No. 9,2021,Census Division No. 9 2021,0,0
Clear Hills County,2021,Clear Hills County 2021,0,0
Clearwater County,2021,Clearwater County 2021,0,0
County of Grande Prairie,2021,County of Grande Prairie 2021,0,0
County of Northern Lights,2021,County of Northern Lights 2021,0,0
County of Wetaskiwin,2021,County of Wetaskiwin 2021,0,0
Kananaskis Improvement District,2021,Kananaskis Improvement District 2021,0,0
Lac La Biche County,2021,Lac La Biche County 2021,0,0
Mackenzie County,2021,Mackenzie County 2021,0,0
Mountain View County,2021,Mountain View County 2021,0,0
Municipal District of Bighorn,2021,Municipal District of Bighorn 2021,0,0
Municipal District of Bonnyville,2021,Municipal District of Bonnyville 2021,0,0
Municipal District of Greenview,2021,Municipal District of Greenview 2021,0,0
Municipal District of Lesser Slave River,2021,Municipal District of Lesser Slave River 2021,0,0
Municipal District of Opportunity,2021,Municipal District of Opportunity 2021,0,0
Municipal District of Pincher Creek No. 9,2021,Municipal District of Pincher Creek No. 9 2021,0,0
Municipal District of Ranchland No. 66,2021,Municipal District of Ranchland No. 66 2021,0,0
Municipal District of Smoky River,2021,Municipal District of Smoky River 2021,0,0
Northern Sunrise County,2021,Northern Sunrise County 2021,0,0
Ponoka County,2021,Ponoka County 2021,0,0
Saddle Hills County,2021,Saddle Hills County 2021,0,0
Wood Buffalo,2021,Wood Buffalo 2021,0,0
Woodlands County,2021,Woodlands County 2021,0,0
Yellowhead County,2021,Yellowhead County 2021,0,0
Athabasca County,2022,Athabasca County 2022,0,0
Big Lakes County,2022,Big Lakes County 2022,0,0
Brazeau County,2022,Brazeau County 2022,0,0
Census Division No. 9,2022,Census Division No. 9 2022,0,0
Clear Hills County,2022,Clear Hills County 2022,0,0
Clearwater County,2022,Clearwater County 2022,0,0
County of Grande Prairie,2022,County of Grande Prairie 2022,0,0
County of Northern Lights,2022,County of Northern Lights 2022,0,0
County of Wetaskiwin,2022,County of Wetaskiwin 2022,0,0
Kananaskis Improvement District,2022,Kananaskis Improvement District 2022,0,0
Lac La Biche County,2022,Lac La Biche County 2022,0,0
Mackenzie County,2022,Mackenzie County 2022,0,0
Mountain View County,2022,Mountain View County 2022,0,0
Municipal District of Bighorn,2022,Municipal District of Bighorn 2022,0,0
Municipal District of Bonnyville,2022,Municipal District of Bonnyville 2022,0,0
Municipal District of Greenview,2022,Municipal District of Greenview 2022,0,0
Municipal District of Lesser Slave River,2022,Municipal District of Lesser Slave River 2022,0,0
Municipal District of Opportunity,2022,Municipal District of Opportunity 2022,0,0
Municipal District of Pincher Creek No. 9,2022,Municipal District of Pincher Creek No. 9 2022,0,0
Municipal District of Ranchland No. 66,2022,Municipal District of Ranchland No. 66 2022,0,0
Municipal District of Smoky River,2022,Municipal District of Smoky River 2022,0,0
Northern Sunrise County,2022,Northern Sunrise County 2022,0,0
Ponoka County,2022,Ponoka County 2022,0,0
Saddle Hills County,2022,Saddle Hills County 2022,0,0
Wood Buffalo,2022,Wood Buffalo 2022,0,0
Woodlands County,2022,Woodlands County 2022,0,0
Yellowhead County,2022,Yellowhead County 2022,0,0
